RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,P+R,P+A,P+R+A,VI,ORtg,DRtg,PpG_Per36,RpG_Per36,ApG_Per36,SpG_Per36,BpG_Per36,TOpG_Per36,FTA_Per36,2PA_Per36,3PA_Per36
,LeBron James,Lal,*,F,40.3,70,34.9,30.1,17.0,331,0.782,874,0.574,396,0.376,0.571,0.604,32.2,32.6,40.4,13.3,116.9,112.1,25.2,8.0,8.5,1.0,0.6,3.8,4.9,12.9,5.8
,Chris Paul,San,*,G,39.9,82,28.0,14.0,18.1,92,0.924,212,0.514,371,0.377,0.547,0.58,12.4,16.2,19.8,8.8,125.1,114.1,11.3,4.6,9.5,1.7,0.4,2.1,1.4,3.3,5.8
,Kevin Durant,Pho,*,F,36.5,62,36.5,28.7,14.5,361,0.839,752,0.574,372,0.43,0.598,0.642,32.6,30.8,36.8,9.6,116.9,118.0,26.2,5.9,4.1,0.8,1.2,3.1,5.7,12.0,5.9
,Al Horford,Bos,*,C-F,38.9,60,27.6,13.8,9.1,38,0.895,147,0.551,314,0.363,0.547,0.563,15.1,11.1,17.3,7.1,120.6,108.8,11.7,8.1,2.7,0.8,1.2,1.0,0.8,3.2,6.8
,Mike Conley,Min,*,G,37.5,71,24.7,14.4,13.8,90,0.9,158,0.38,310,0.41,0.535,0.573,10.8,12.7,15.3,7.4,124.7,109.3,12.0,3.8,6.6,1.6,0.3,1.6,1.8,3.2,6.4
,Russell Westbrook,Den,*,G,36.4,75,27.9,23.8,22.5,233,0.661,540,0.517,291,0.323,0.505,0.532,18.2,19.3,24.3,10.5,104.4,109.2,17.2,6.3,7.9,1.8,0.6,4.1,4.0,9.3,5.0
,Brook Lopez,Mil,*,C,37.0,80,31.8,15.8,9.8,138,0.826,401,0.636,373,0.373,0.599,0.624,18.0,14.8,19.8,6.2,122.0,110.7,14.7,5.7,2.0,0.7,2.2,1.2,2.0,5.7,5.3
,James Harden,Lac,*,G,35.6,79,35.3,29.6,20.8,578,0.874,627,0.472,668,0.352,0.501,0.582,28.6,31.5,37.3,11.9,113.4,107.7,23.3,5.9,8.9,1.5,0.7,4.4,7.5,8.1,8.6
,Stephen Curry,Gol,*,G,37.1,70,32.2,29.7,13.7,299,0.933,474,0.534,784,0.397,0.572,0.618,29.0,30.6,35.0,10.7,119.5,112.0,27.4,4.9,6.7,1.2,0.4,3.2,4.8,7.6,12.5
,DeMar DeRozan,Sac,*,G-F,35.7,77,35.9,25.0,7.4,441,0.857,1053,0.513,256,0.328,0.509,0.569,26.1,26.6,30.5,8.1,120.2,116.1,22.3,3.9,4.4,0.8,0.4,1.4,5.7,13.7,3.3
,Jrue Holiday,Bos,*,G,34.8,62,30.6,15.8,11.8,77,0.909,267,0.547,306,0.353,0.538,0.565,15.4,14.9,19.2,7.5,120.9,109.9,13.1,5.1,4.6,1.3,0.5,1.4,1.5,5.1,5.8
,Paul George,Phi,*,F,35.0,41,32.5,23.5,15.7,97,0.814,302,0.493,268,0.358,0.514,0.543,21.6,20.6,25.9,8.8,104.3,112.2,17.9,5.9,4.8,2.0,0.6,2.9,2.6,8.2,7.2
,Kyrie Irving,Dal,*,G,33.1,50,36.1,27.4,10.5,214,0.916,586,0.517,359,0.401,0.549,0.594,29.5,29.3,34.1,9.1,117.8,114.7,24.6,4.8,4.6,1.3,0.5,2.2,4.3,11.7,7.2
,Jonas Valanciunas,Was,,C,32.9,49,20.0,23.8,17.2,106,0.896,395,0.567,27,0.259,0.556,0.602,19.8,13.7,22.0,11.8,114.8,108.3,20.7,14.8,4.0,0.7,1.1,3.2,3.9,14.5,1.0
,Klay Thompson,Dal,*,G,35.2,72,27.3,21.8,9.1,74,0.905,324,0.448,553,0.391,0.535,0.552,17.4,16.0,19.4,6.7,108.4,116.8,18.5,4.5,2.6,0.9,0.5,1.6,1.4,5.9,10.1
,Nikola Vucevic,Chi,*,C,34.5,73,31.2,22.4,10.3,149,0.805,717,0.587,321,0.402,0.592,0.611,28.5,22.0,32.1,11.1,121.7,109.8,21.3,11.7,4.0,0.9,0.8,1.8,2.4,11.3,5.1
,Tobias Harris,Det,*,F,32.7,73,31.6,17.6,9.5,166,0.861,541,0.542,264,0.345,0.534,0.571,19.6,15.9,21.9,7.1,115.5,110.5,15.6,6.7,2.5,1.1,0.9,1.4,2.6,8.4,4.1
,Anthony Davis,Lal,,F-C,32.1,42,34.3,30.2,10.9,321,0.788,663,0.561,94,0.298,0.547,0.602,37.6,29.1,41.0,11.8,120.5,107.4,27.0,12.5,3.6,1.4,2.2,2.3,8.0,16.6,2.3
,Bradley Beal,Pho,*,G,31.8,53,32.1,22.1,12.5,137,0.803,430,0.565,264,0.386,0.571,0.598,20.4,20.7,24.0,7.4,114.4,115.7,19.1,3.7,4.1,1.2,0.6,2.1,2.9,9.1,5.6
,Damian Lillard,Mil,*,G,34.7,58,36.1,27.8,14.0,393,0.921,468,0.528,524,0.376,0.547,0.621,29.6,32.0,36.7,10.4,122.1,112.2,24.8,4.7,7.1,1.2,0.2,2.8,6.8,8.0,9.0
,Harrison Barnes,San,*,F,32.9,82,27.2,15.7,6.8,199,0.809,323,0.591,360,0.433,0.622,0.656,16.1,14.0,17.8,6.3,132.1,119.7,16.3,5.0,2.2,0.7,0.3,0.8,3.2,5.2,5.8
,Draymond Green,Gol,*,F,35.1,68,29.2,15.9,25.5,146,0.685,263,0.517,246,0.325,0.503,0.534,15.1,14.6,20.7,9.2,106.4,102.0,11.1,7.5,6.9,1.8,1.2,3.2,2.6,4.8,4.5
,CJ McCollum,Nor,*,G,33.6,56,32.7,27.2,9.6,173,0.717,540,0.506,460,0.372,0.53,0.55,24.9,25.2,29.0,8.4,110.2,118.7,23.2,4.2,4.5,0.9,0.4,2.1,3.4,10.6,9.0
,Kentavious Caldwell-Pope,Orl,*,G,32.2,77,29.6,12.4,10.2,95,0.863,214,0.589,330,0.342,0.543,0.574,10.9,10.5,12.7,4.4,115.0,109.3,10.6,2.7,2.2,1.6,0.5,1.0,1.5,3.4,5.2
,Rudy Gobert,Min,*,C,32.8,72,33.2,13.0,14.9,273,0.674,510,0.669,0,0.0,0.669,0.687,22.9,13.8,24.7,7.4,137.2,104.9,13.0,11.8,2.0,0.9,1.5,1.3,4.1,7.7,0.0
,Tim Hardaway Jr.,Det,*,G-F,33.1,77,28.0,15.5,6.6,145,0.855,223,0.484,457,0.368,0.529,0.567,13.3,12.6,14.9,5.0,117.1,115.6,14.1,3.1,2.1,0.6,0.1,0.8,2.4,3.7,7.6
,Giannis Antetokounmpo,Mil,*,F,30.4,67,34.2,35.2,13.5,707,0.617,1256,0.62,63,0.222,0.607,0.625,42.3,36.9,48.8,15.6,122.5,105.3,32.0,12.5,6.8,0.9,1.3,3.3,11.1,19.7,1.0
,Zach LaVine,Chi,,G,30.1,42,34.1,26.6,14.6,182,0.797,405,0.56,305,0.446,0.607,0.637,28.8,28.5,33.3,9.4,115.1,115.8,25.3,5.1,4.8,1.0,0.2,3.1,4.6,10.2,7.7
,Spencer Dinwiddie,Dal,*,G,32.0,79,27.0,17.9,13.0,243,0.802,356,0.492,326,0.334,0.496,0.553,13.7,15.5,18.1,7.4,116.1,115.2,14.7,3.5,5.9,1.2,0.3,1.7,4.1,6.0,5.5
,Jerami Grant,Por,*,F,31.1,47,32.4,19.4,10.2,166,0.849,278,0.381,296,0.365,0.467,0.523,17.9,16.6,20.0,5.8,109.0,113.2,16.0,3.9,2.3,1.0,1.1,1.6,3.9,6.6,7.0
,Aaron Gordon,Den,*,F,29.6,51,28.4,19.0,12.8,179,0.81,325,0.582,172,0.436,0.607,0.65,19.5,17.9,22.7,8.6,128.4,115.2,18.6,6.1,4.1,0.6,0.4,1.8,4.4,8.1,4.3
,Julius Randle,Min,*,F-C,30.4,69,32.3,25.0,17.3,335,0.806,625,0.555,314,0.344,0.542,0.593,25.7,23.3,30.4,10.6,116.3,106.9,20.8,7.9,5.2,0.8,0.2,3.1,5.4,10.1,5.1
,Andrew Wiggins,Gol,,F,30.1,43,30.1,23.5,8.7,179,0.777,340,0.491,248,0.379,0.524,0.566,22.1,19.9,24.5,7.6,115.6,111.5,21.0,5.5,2.8,1.1,1.0,1.6,5.0,9.5,6.9
,Clint Capela,Atl,*,C,30.9,55,21.4,16.7,10.7,97,0.536,389,0.56,1,0.0,0.559,0.564,17.4,10.0,18.5,8.2,119.5,107.8,15.0,14.3,1.9,1.0,1.5,1.5,3.0,11.9,0.0
,Nikola Jokic,Den,*,C,30.1,70,36.7,29.5,14.4,451,0.8,1033,0.627,330,0.418,0.627,0.663,42.3,39.8,52.6,17.1,132.9,108.0,29.0,12.5,10.0,1.8,0.6,3.2,6.3,14.5,4.6
,Kristaps Porzingis,Bos,*,F-C,29.7,42,28.8,25.9,8.4,199,0.809,324,0.537,250,0.412,0.572,0.618,26.2,21.5,28.3,9.1,124.9,103.0,24.4,8.5,2.6,0.9,1.9,1.6,5.9,9.6,7.4
,Tyus Jones,Pho,*,G,28.9,81,26.8,16.2,11.8,57,0.895,282,0.496,401,0.414,0.57,0.585,12.7,15.5,18.0,7.6,124.3,122.1,13.7,3.2,7.1,1.2,0.1,1.5,0.9,4.7,6.7
,Karl-Anthony Towns,Nyk,*,C-F,29.4,72,35.0,27.4,13.6,409,0.829,877,0.567,338,0.42,0.584,0.63,37.2,27.5,40.3,11.3,121.5,102.7,25.1,13.2,3.2,1.0,0.7,2.8,5.8,12.5,4.8
,Kelly Oubre Jr.,Phi,*,F-G,29.3,60,34.6,18.9,9.7,185,0.751,499,0.555,242,0.293,0.518,0.551,21.2,16.9,23.0,6.4,111.1,112.2,15.7,6.3,1.9,1.6,0.5,1.4,3.2,8.7,4.2
,Devin Booker,Pho,*,G,28.5,75,37.3,29.3,13.4,483,0.894,869,0.542,551,0.332,0.525,0.589,29.7,32.7,36.8,9.7,118.5,117.4,24.7,4.0,6.9,0.9,0.2,2.8,6.2,11.2,7.1
,Myles Turner,Ind,*,C-F,29.1,72,30.2,20.7,13.2,238,0.773,417,0.561,394,0.396,0.577,0.612,22.1,17.1,23.6,7.1,112.9,108.8,18.6,7.7,1.8,1.0,2.4,2.0,3.9,6.9,6.5
,Bobby Portis,Mil,*,F,30.2,50,24.9,24.1,8.7,73,0.836,417,0.508,178,0.365,0.52,0.542,21.8,15.7,23.9,9.9,110.9,105.1,19.7,11.9,3.0,1.0,0.7,1.6,2.1,12.1,5.1
,Terry Rozier,Mia,*,G,31.1,64,25.9,20.4,10.9,108,0.852,327,0.48,308,0.295,0.462,0.497,14.3,13.2,16.9,7.2,102.7,113.1,14.7,5.1,3.6,0.8,0.3,1.7,2.3,7.1,6.7
,Norman Powell,Lac,*,G,31.9,60,32.6,26.1,10.3,265,0.804,517,0.538,428,0.418,0.578,0.615,24.9,23.9,27.0,6.5,116.4,109.6,24.1,3.5,2.3,1.3,0.2,2.0,4.9,9.5,7.9
,Royce O'Neale,Pho,*,F,31.9,75,24.5,15.5,10.2,26,0.731,129,0.481,441,0.406,0.58,0.585,13.7,11.2,15.9,7.4,115.5,112.8,13.4,6.9,3.2,1.3,0.7,1.3,0.5,2.5,8.6
